HF
cc-pVTZ
-40.213466
modenumber	Symmetry	Frequency	IR_Intensity	Raman_Activ	depolarp	depolaru
1	A1	3147.786	0	184.546	0	0
2	E	1666.341	0	11.4365	0.75	0.8571
2	E	1666.341	0	11.4365	0.75	0.8571
3	T2	3246.153	39.5349	60.9068	0.75	0.8571
3	T2	3246.153	39.5349	60.9068	0.75	0.8571
3	T2	3246.153	39.5349	60.9068	0.75	0.8571
4	T2	1454.015	9.3708	0.2107	0.75	0.8571
4	T2	1454.015	9.3708	0.2107	0.75	0.8571
4	T2	1454.015	9.3708	0.2107	0.75	0.8571
-------------------------------------------
