HF
cc-pVTZ
geom
Atom	X	Y	Z
C	-0.4198120	0.6372100	0.0000000
C	0.4198120	-0.6372100	0.0000000
C	0.4198120	1.9102700	0.0000000
C	-0.4198120	-1.9102700	0.0000000
H	-1.0721510	0.6354900	0.8692010
H	-1.0721510	0.6354900	-0.8692010
H	1.0721510	-0.6354900	0.8692010
H	1.0721510	-0.6354900	-0.8692010
H	-0.2065690	2.7949830	0.0000000
H	1.0585310	1.9575360	0.8758070
H	1.0585310	1.9575360	-0.8758070
H	0.2065690	-2.7949830	0.0000000
H	-1.0585310	-1.9575360	0.8758070
H	-1.0585310	-1.9575360	-0.8758070
-------------------------------------------
