HF
cc-pVTZ
geom
Atom	X	Y	Z
C	0.0280020	-2.1883350	0.0000000
C	0.8134740	-0.8778960	0.0000000
C	0.0000000	0.4331740	0.0000000
C	0.9934130	1.6024960	0.0000000
C	-0.8802300	0.5346920	1.2520740
C	-0.8802300	0.5346920	-1.2520740
H	0.4746490	2.5550310	0.0000000
H	0.7131960	-3.0285530	0.0000000
H	-0.2873640	0.4395420	2.1560170
H	-0.2873640	0.4395420	-2.1560170
H	-1.6442960	-0.2326220	1.2726390
H	-1.6442960	-0.2326220	-1.2726390
H	-1.3836130	1.4948950	1.2877220
H	-1.3836130	1.4948950	-1.2877220
H	-0.6016100	-2.2861340	0.8759210
H	-0.6016100	-2.2861340	-0.8759210
H	1.4674490	-0.8689670	0.8677270
H	1.4674490	-0.8689670	-0.8677270
H	1.6322250	1.5735750	0.8763650
H	1.6322250	1.5735750	-0.8763650
-------------------------------------------
