HF
cc-pVTZ
geom
Atom	X	Y	Z
C	0.0000000	0.6593390	0.6577020
C	0.0000000	-0.6593390	0.6577020
C	0.0000000	1.5914570	-0.5193940
C	0.0000000	-1.5914570	-0.5193940
H	0.0000000	1.1484400	1.6174910
H	0.0000000	-1.1484400	1.6174910
H	0.0000000	1.0753010	-1.4679000
H	0.0000000	-1.0753010	-1.4679000
H	-0.8720800	2.2370300	-0.4897220
H	0.8720800	2.2370300	-0.4897220
H	0.8720800	-2.2370300	-0.4897220
H	-0.8720800	-2.2370300	-0.4897220
-------------------------------------------
